,content_id,content_title,content_type,duration,avg_rating,cast/producer_for_anime,director/studio_for_anime,content_genres,content_description,release_year
23,30276,One Punch Man,TV,24 min. per ep.,8.73,"TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, East Japan Marketing &amp; Communications",Madhouse,"Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural, Seinen","R - 17+ (violence & profanity)
One Punch Man is a TV. Genre: Action, Sci-Fi, Comedy, Parody, Super Power, Supernatural, Seinen. Produced by TV Tokyo, Bandai Visual, Lantis, Asatsu DK, Banpresto, Good Smile Company, Shueisha, East Japan Marketing &amp; Communications, Studio: Madhouse.",2015
24,164,Mononoke Hime,Movie,2 hr. 10 min.,8.8,"Tokuma Shoten, Nippon Television Network",Studio Ghibli,"Action, Adventure, Fantasy","PG-13 - Teens 13 or older
Mononoke Hime is a Movie. Genre: Action, Adventure, Fantasy. Produced by Tokuma Shoten, Nippon Television Network, Studio: Studio Ghibli.",1997
25,7311,Suzumiya Haruhi no Shoushitsu,Movie,2 hr. 42 min.,8.73,"Kadokawa Shoten, Animation Do",Kyoto Animation,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural","PG-13 - Teens 13 or older
Suzumiya Haruhi no Shoushitsu is a Movie. Genre: Comedy, Mystery, Romance, School, Sci-Fi, Supernatural. Produced by Kadokawa Shoten, Animation Do, Studio: Kyoto Animation.",2010
26,17074,Monogatari Series: Second Season,TV,24 min. per ep.,8.77,"Aniplex, Kodansha, Cyclone Graphics inc",Shaft,"Mystery, Comedy, Supernatural, Romance, Vampire","R - 17+ (violence & profanity)
Monogatari Series: Second Season is a TV. Genre: Mystery, Comedy, Supernatural, Romance, Vampire. Produced by Aniplex, Kodansha, Cyclone Graphics inc, Studio: Shaft.",2013
27,21939,Mushishi Zoku Shou,TV,24 min. per ep.,8.77,"Aniplex, Kodansha, Delfi Sound",Artland,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen","PG-13 - Teens 13 or older
Mushishi Zoku Shou is a TV. Genre: Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen. Produced by Aniplex, Kodansha, Delfi Sound, Studio: Artland.",2014
28,457,Mushishi,TV,25 min. per ep.,8.74,"Avex Entertainment, Marvelous, SKY Perfect Well Think, Delfi Sound",Artland,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","PG-13 - Teens 13 or older
Mushishi is a TV. Genre: Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural. Produced by Avex Entertainment, Marvelous, SKY Perfect Well Think, Delfi Sound, Studio: Artland.",2005
29,2001,Tengen Toppa Gurren Lagann,TV,24 min. per ep.,8.74,"TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai",Gainax,"Action, Adventure, Comedy, Mecha, Sci-Fi","PG-13 - Teens 13 or older
Tengen Toppa Gurren Lagann is a TV. Genre: Action, Adventure, Comedy, Mecha, Sci-Fi. Produced by TV Tokyo, Aniplex, Dentsu, Konami, Half H.P Studio, Bandai, Studio: Gainax.",2007
30,245,Great Teacher Onizuka,TV,25 min. per ep.,8.74,"Aniplex, Fuji TV",Studio Pierrot,"Comedy, Drama, School, Shounen, Slice of Life","R - 17+ (violence & profanity)
Great Teacher Onizuka is a TV. Genre: Comedy, Drama, School, Shounen, Slice of Life. Produced by Aniplex, Fuji TV, Studio: Studio Pierrot.",1999
31,32983,Natsume Yuujinchou Go,TV,23 min. per ep.,8.64,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha",Shuka,"Slice of Life, Supernatural, Drama, Fantasy, Shoujo","PG-13 - Teens 13 or older
Natsume Yuujinchou Go is a TV. Genre: Slice of Life, Supernatural, Drama, Fantasy, Shoujo. Produced by TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, Studio: Shuka.",2016
32,5258,Hajime no Ippo: New Challenger,TV,23 min. per ep.,8.73,"VAP, Kodansha, Nippon Television Network",Madhouse,"Comedy, Sports, Drama, Shounen","PG-13 - Teens 13 or older
Hajime no Ippo: New Challenger is a TV. Genre: Comedy, Sports, Drama, Shounen. Produced by VAP, Kodansha, Nippon Television Network, Studio: Madhouse.",2009
33,28957,Mushishi Zoku Shou: Suzu no Shizuku,Movie,47 min.,8.71,"Aniplex, Kodansha, Delfi Sound",Artland,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural","PG-13 - Teens 13 or older
Mushishi Zoku Shou: Suzu no Shizuku is a Movie. Genre: Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural. Produced by Aniplex, Kodansha, Delfi Sound, Studio: Artland.",2015
34,11665,Natsume Yuujinchou Shi,TV,24 min. per ep.,8.72,"TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, Sony Music Entertainment",Brain&#039;s Base,"Slice of Life, Supernatural, Drama, Fantasy, Shoujo","PG-13 - Teens 13 or older
Natsume Yuujinchou Shi is a TV. Genre: Slice of Life, Supernatural, Drama, Fantasy, Shoujo. Produced by TV Tokyo, Aniplex, Nihon Ad Systems, Hakusensha, Sony Music Entertainment, Studio: Brain&#039;s Base.",2012
35,431,Howl no Ugoku Shiro,Movie,1 hr. 57 min.,8.73,"d-rights, Tokuma Shoten",Studio Ghibli,"Adventure, Drama, Fantasy, Romance","G - All Ages
Howl no Ugoku Shiro is a Movie. Genre: Adventure, Drama, Fantasy, Romance. Produced by d-rights, Tokuma Shoten, Studio: Studio Ghibli.",2004
36,11741,Fate/Zero 2nd Season,TV,24 min. per ep.,8.66,"Aniplex, Nitroplus, Seikaisha, Notes",ufotable,"Action, Supernatural, Magic, Fantasy","R - 17+ (violence & profanity)
Fate/Zero 2nd Season is a TV. Genre: Action, Supernatural, Magic, Fantasy. Produced by Aniplex, Nitroplus, Seikaisha, Notes, Studio: ufotable.",2012
37,31757,Kizumonogatari II: Nekketsu-hen,Movie,1 hr. 4 min.,8.69,"Aniplex, Kodansha",Shaft,"Action, Mystery, Supernatural, Vampire","R - 17+ (violence & profanity)
Kizumonogatari II: Nekketsu-hen is a Movie. Genre: Action, Mystery, Supernatural, Vampire. Produced by Aniplex, Kodansha, Studio: Shaft.",2016
38,19,Monster,TV,24 min. per ep.,8.69,"VAP, Shogakukan Productions, Nippon Television Network",Madhouse,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller","R+ - Mild Nudity
Monster is a TV. Genre: Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller. Produced by VAP, Shogakukan Productions, Nippon Television Network, Studio: Madhouse.",2004
39,12365,Bakuman. 3rd Season,TV,24 min. per ep.,8.67,"NHK, Shueisha",J.C.Staff,"Comedy, Drama, Romance, Shounen","PG-13 - Teens 13 or older
Bakuman. 3rd Season is a TV. Genre: Comedy, Drama, Romance, Shounen. Produced by NHK, Shueisha, Studio: J.C.Staff.",2012
40,1535,Death Note,TV,23 min. per ep.,8.67,"VAP, Konami, Ashi Production, Nippon Television Network, Shueisha",Madhouse,"Mystery, Police, Psychological, Supernatural, Thriller, Shounen","R - 17+ (violence & profanity)
Death Note is a TV. Genre: Mystery, Police, Psychological, Supernatural, Thriller, Shounen. Produced by VAP, Konami, Ashi Production, Nippon Television Network, Shueisha, Studio: Madhouse.",2006
41,32366,Gintama°: Aizome Kaori-hen,OVA,26 min. per ep.,8.5,"TV Tokyo, Dentsu",Bandai Namco Pictures,"Comedy, Parody","PG-13 - Teens 13 or older
Gintama°: Aizome Kaori-hen is a OVA. Genre: Comedy, Parody. Produced by TV Tokyo, Dentsu, Studio: Bandai Namco Pictures.",2016
42,30654,Ansatsu Kyoushitsu (TV) 2nd Season,TV,23 min. per ep.,8.66,"Dentsu, Fuji TV, DAX Production, Avex Pictures, Shueisha, Kansai Telecasting",Lerche,"Action, Comedy, School, Shounen","PG-13 - Teens 13 or older
Ansatsu Kyoushitsu (TV) 2nd Season is a TV. Genre: Action, Comedy, School, Shounen. Produced by Dentsu, Fuji TV, DAX Production, Avex Pictures, Shueisha, Kansai Telecasting, Studio: Lerche.",2016
43,20583,Haikyuu!!,TV,24 min. per ep.,8.65,"Mainichi Broadcasting System, TOHO animation, Shueisha",Production I.G,"Comedy, Drama, School, Shounen, Sports","PG-13 - Teens 13 or older
Haikyuu!! is a TV. Genre: Comedy, Drama, School, Shounen, Sports. Produced by Mainichi Broadcasting System, TOHO animation, Shueisha, Studio: Production I.G.",2014
44,19647,Hajime no Ippo: Rising,TV,22 min. per ep.,8.66,"VAP, Kodansha, Nippon Television Network","Madhouse, MAPPA","Comedy, Sports, Drama, Shounen","PG-13 - Teens 13 or older
Hajime no Ippo: Rising is a TV. Genre: Comedy, Sports, Drama, Shounen. Produced by VAP, Kodansha, Nippon Television Network, Studio: Madhouse, MAPPA.",2013
45,4282,Kara no Kyoukai 5: Mujun Rasen,Movie,1 hr. 54 min.,8.63,Notes,ufotable,"Action, Mystery, Supernatural, Drama, Romance, Thriller","R - 17+ (violence & profanity)
Kara no Kyoukai 5: Mujun Rasen is a Movie. Genre: Action, Mystery, Supernatural, Drama, Romance, Thriller. Produced by Notes, Studio: ufotable.",2008
46,10379,Natsume Yuujinchou San,TV,24 min. per ep.,8.65,"Aniplex, Sakura Create",Brain&#039;s Base,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural","PG-13 - Teens 13 or older
Natsume Yuujinchou San is a TV. Genre: Drama, Fantasy, Shoujo, Slice of Life, Supernatural. Produced by Aniplex, Sakura Create, Studio: Brain&#039;s Base.",2011
47,22135,Ping Pong The Animation,TV,23 min. per ep.,8.65,"Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings",Tatsunoko Production,"Sports, Psychological, Drama, Seinen","PG-13 - Teens 13 or older
Ping Pong The Animation is a TV. Genre: Sports, Psychological, Drama, Seinen. Produced by Aniplex, Dentsu, Fuji TV, Kyoraku Industrial Holdings, Studio: Tatsunoko Production.",2014
48,21329,Mushishi Special: Hihamukage,Special,45 min.,8.64,"Aniplex, Kodansha, Delfi Sound",Artland,"Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen","PG-13 - Teens 13 or older
Mushishi Special: Hihamukage is a Special. Genre: Adventure, Slice of Life, Mystery, Historical, Supernatural, Fantasy, Seinen. Produced by Aniplex, Kodansha, Delfi Sound, Studio: Artland.",2014
49,31043,Boku dake ga Inai Machi,TV,23 min. per ep.,8.56,"Aniplex, Dentsu, Kadokawa Shoten, Fuji TV, DAX Production, Kyoraku Industrial Holdings, Kansai Telecasting, Lawson",A-1 Pictures,"Mystery, Psychological, Seinen, Supernatural","R - 17+ (violence & profanity)
Boku dake ga Inai Machi is a TV. Genre: Mystery, Psychological, Seinen, Supernatural. Produced by Aniplex, Dentsu, Kadokawa Shoten, Fuji TV, DAX Production, Kyoraku Industrial Holdings, Kansai Telecasting, Lawson, Studio: A-1 Pictures.",2016
50,7785,Yojouhan Shinwa Taikei,TV,23 min. per ep.,8.65,"Dentsu, Kadokawa Shoten, Fuji TV, Toho, Asmik Ace Entertainment, Tohokushinsha Film Corporation, Sony Music Entertainment, Fuji Pacific Music Publishing",Madhouse,"Mystery, Comedy, Psychological, Romance","R - 17+ (violence & profanity)
Yojouhan Shinwa Taikei is a TV. Genre: Mystery, Comedy, Psychological, Romance. Produced by Dentsu, Kadokawa Shoten, Fuji TV, Toho, Asmik Ace Entertainment, Tohokushinsha Film Corporation, Sony Music Entertainment, Fuji Pacific Music Publishing, Studio: Madhouse.",2010
51,3297,Aria The Origination,TV,24 min. per ep.,8.59,"TV Tokyo, Shochiku, Mag Garden",Hal Film Maker,"Fantasy, Sci-Fi, Shounen, Slice of Life","G - All Ages
Aria The Origination is a TV. Genre: Fantasy, Sci-Fi, Shounen, Slice of Life. Produced by TV Tokyo, Shochiku, Mag Garden, Studio: Hal Film Maker.",2008
52,30709,Kamisama Hajimemashita: Kako-hen,OVA,30 min. per ep.,8.54,Unknown,TMS Entertainment,"Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo","PG-13 - Teens 13 or older
Kamisama Hajimemashita: Kako-hen is a OVA. Genre: Comedy, Demons, Supernatural, Romance, Fantasy, Shoujo. Produced by Unknown, Studio: TMS Entertainment.",2015
53,6114,Rainbow: Nisha Rokubou no Shichinin,TV,22 min. per ep.,8.59,"VAP, Nippon Television Network",Madhouse,"Drama, Historical, Seinen, Thriller","R - 17+ (violence & profanity)
Rainbow: Nisha Rokubou no Shichinin is a TV. Genre: Drama, Historical, Seinen, Thriller. Produced by VAP, Nippon Television Network, Studio: Madhouse.",2010
54,31240,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25 min. per ep.,8.43,"TV Tokyo, Media Factory, Kadokawa Shoten, AT-X, Magic Capsule, Memory-Tech, Hakuhodo DY Music &amp; Pictures",White Fox,"Psychological, Drama, Thriller, Fantasy","R - 17+ (violence & profanity)
Re:Zero kara Hajimeru Isekai Seikatsu is a TV. Genre: Psychological, Drama, Thriller, Fantasy. Produced by TV Tokyo, Media Factory, Kadokawa Shoten, AT-X, Magic Capsule, Memory-Tech, Hakuhodo DY Music &amp; Pictures, Studio: White Fox.",2016
55,4565,Tengen Toppa Gurren Lagann Movie: Lagann-hen,Movie,2 hr. 5 min.,8.62,Aniplex,Gainax,"Action, Sci-Fi, Space, Super Power, Mecha","R+ - Mild Nudity
Tengen Toppa Gurren Lagann Movie: Lagann-hen is a Movie. Genre: Action, Sci-Fi, Space, Super Power, Mecha. Produced by Aniplex, Studio: Gainax.",2009
56,5300,Zoku Natsume Yuujinchou,TV,24 min. per ep.,8.62,"Aniplex, Nihon Ad Systems",Brain&#039;s Base,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural","PG-13 - Teens 13 or older
Zoku Natsume Yuujinchou is a TV. Genre: Drama, Fantasy, Shoujo, Slice of Life, Supernatural. Produced by Aniplex, Nihon Ad Systems, Studio: Brain&#039;s Base.",2009
57,9989,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,TV,22 min. per ep.,8.55,"Aniplex, Dentsu, Fuji TV, Fuji Pacific Music Publishing",A-1 Pictures,"Slice of Life, Supernatural, Drama","PG-13 - Teens 13 or older
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai. is a TV. Genre: Slice of Life, Supernatural, Drama. Produced by Aniplex, Dentsu, Fuji TV, Fuji Pacific Music Publishing, Studio: A-1 Pictures.",2011
58,24415,Kuroko no Basket 3rd Season,TV,24 min. per ep.,8.54,"Bandai Visual, Lantis, Nihon Ad Systems, Banpresto, Shueisha, BS11",Production I.G,"Comedy, Sports, School, Shounen","PG-13 - Teens 13 or older
Kuroko no Basket 3rd Season is a TV. Genre: Comedy, Sports, School, Shounen. Produced by Bandai Visual, Lantis, Nihon Ad Systems, Banpresto, Shueisha, BS11, Studio: Production I.G.",2015
59,11577,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,1 hr. 30 min.,8.58,"Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, MAGES.",White Fox,"Sci-Fi, Drama","PG-13 - Teens 13 or older
Steins;Gate Movie: Fuka Ryouiki no Déjà vu is a Movie. Genre: Sci-Fi, Drama. Produced by Frontier Works, Media Factory, Movic, AT-X, Kadokawa Pictures Japan, MAGES., Studio: White Fox.",2013
60,10408,Hotarubi no Mori e,Movie,45 min.,8.55,Aniplex,Brain&#039;s Base,"Drama, Romance, Shoujo, Supernatural","G - All Ages
Hotarubi no Mori e is a Movie. Genre: Drama, Romance, Shoujo, Supernatural. Produced by Aniplex, Studio: Brain&#039;s Base.",2011
61,28171,Shokugeki no Souma,TV,25 min. per ep.,8.55,"Dentsu, Frontier Works, Mainichi Broadcasting System, Magic Capsule, Warner Bros., KlockWorx, Showgate, Shueisha, I Will",J.C.Staff,"Ecchi, School, Shounen","PG-13 - Teens 13 or older
Shokugeki no Souma is a TV. Genre: Ecchi, School, Shounen. Produced by Dentsu, Frontier Works, Mainichi Broadcasting System, Magic Capsule, Warner Bros., KlockWorx, Showgate, Shueisha, I Will, Studio: J.C.Staff.",2015
62,32995,Yuri!!! on Ice,TV,23 min. per ep.,8.18,"Dentsu, TV Asahi, Movic, Avex Pictures, CIC, Cygames",MAPPA,"Comedy, Sports","PG-13 - Teens 13 or older
Yuri!!! on Ice is a TV. Genre: Comedy, Sports. Produced by Dentsu, TV Asahi, Movic, Avex Pictures, CIC, Cygames, Studio: MAPPA.",2016
63,21899,Gintama: Yorinuki Gintama-san on Theater 2D,Movie,1 hr. 36 min. per ep.,8.52,Unknown,Sunrise,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","PG-13 - Teens 13 or older
Gintama: Yorinuki Gintama-san on Theater 2D is a Movie. Genre: Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen. Produced by Unknown, Studio: Sunrise.",2012
64,26055,JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season,TV,23 min. per ep.,8.56,"Yomiko Advertising, Warner Bros., KlockWorx",David Production,"Action, Adventure, Drama, Shounen, Supernatural","R - 17+ (violence & profanity)
JoJo no Kimyou na Bouken: Stardust Crusaders 2nd Season is a TV. Genre: Action, Adventure, Drama, Shounen, Supernatural. Produced by Yomiko Advertising, Warner Bros., KlockWorx, Studio: David Production.",2015
65,7472,Gintama Movie: Shinyaku Benizakura-hen,Movie,1 hr. 35 min.,8.57,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros., Shueisha",Sunrise,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","R - 17+ (violence & profanity)
Gintama Movie: Shinyaku Benizakura-hen is a Movie. Genre: Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen. Produced by TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros., Shueisha, Studio: Sunrise.",2010
